//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-15-2025
//--  Time: 20:38
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Custom#1 Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:003//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 4700 Ohms
//--    Temperature1: -40.0(C), 	Resistance 1: 44864 Ohms 
//--    Temperature2: 0.0(C), 	Resistance 2: 5784 Ohms 
//--    Temperature3: 100.0(C), 	Resistance 3: 186.6 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
432	53.59	536 	2.109
433	53.42	534 	2.114
434	53.25	532 	2.119
435	53.08	531 	2.124
436	52.91	529 	2.129
437	52.73	527 	2.134
438	52.56	526 	2.139
439	52.39	524 	2.144
440	52.22	522 	2.148
441	52.05	521 	2.153
442	51.88	519 	2.158
443	51.71	517 	2.163
444	51.54	515 	2.168
445	51.37	514 	2.173
446	51.20	512 	2.178
447	51.03	510 	2.183
448	50.86	509 	2.188
449	50.69	507 	2.192
450	50.52	505 	2.197
451	50.36	504 	2.202
452	50.19	502 	2.207
453	50.02	500 	2.212
454	49.85	499 	2.217
455	49.68	497 	2.222
456	49.51	495 	2.227
457	49.35	493 	2.231
458	49.18	492 	2.236
459	49.01	490 	2.241
460	48.84	488 	2.246
461	48.68	487 	2.251
462	48.51	485 	2.256
463	48.34	483 	2.261
464	48.18	482 	2.266
465	48.01	480 	2.271
466	47.85	478 	2.275
467	47.68	477 	2.280
468	47.51	475 	2.285
469	47.35	473 	2.290
470	47.18	472 	2.295
471	47.02	470 	2.300
472	46.85	469 	2.305
473	46.69	467 	2.310
474	46.52	465 	2.314
475	46.36	464 	2.319
476	46.19	462 	2.324
477	46.03	460 	2.329
478	45.86	459 	2.334
479	45.70	457 	2.339
480	45.53	455 	2.344
481	45.37	454 	2.349
482	45.20	452 	2.354
483	45.04	450 	2.358
484	44.88	449 	2.363
485	44.71	447 	2.368
486	44.55	445 	2.373
487	44.39	444 	2.378
488	44.22	442 	2.383
489	44.06	441 	2.388
490	43.90	439 	2.393
491	43.73	437 	2.397
492	43.57	436 	2.402
493	43.41	434 	2.407
494	43.25	432 	2.412
495	43.08	431 	2.417
496	42.92	429 	2.422
497	42.76	428 	2.427
498	42.60	426 	2.432
499	42.43	424 	2.437
500	42.27	423 	2.441
501	42.11	421 	2.446
502	41.95	419 	2.451
503	41.79	418 	2.456
504	41.62	416 	2.461
505	41.46	415 	2.466
506	41.30	413 	2.471
507	41.14	411 	2.476
508	40.98	410 	2.480
509	40.82	408 	2.485
510	40.66	407 	2.490
511	40.50	405 	2.495
512	40.34	403 	2.500
513	40.18	402 	2.505
514	40.01	400 	2.510
515	39.85	399 	2.515
516	39.69	397 	2.520
517	39.53	395 	2.524
518	39.37	394 	2.529
519	39.21	392 	2.534
520	39.05	391 	2.539
521	38.89	389 	2.544
522	38.73	387 	2.549
523	38.57	386 	2.554
524	38.41	384 	2.559
525	38.25	383 	2.563
526	38.09	381 	2.568
527	37.93	379 	2.573
528	37.77	378 	2.578
529	37.61	376 	2.583
530	37.45	375 	2.588
531	37.29	373 	2.593
532	37.14	371 	2.598
533	36.98	370 	2.603
534	36.82	368 	2.607
535	36.66	367 	2.612
536	36.50	365 	2.617
537	36.34	363 	2.622
538	36.18	362 	2.627
539	36.02	360 	2.632
540	35.86	359 	2.637
541	35.70	357 	2.642
542	35.54	355 	2.646
543	35.39	354 	2.651
544	35.23	352 	2.656
545	35.07	351 	2.661
546	34.91	349 	2.666
547	34.75	348 	2.671
548	34.59	346 	2.676
549	34.43	344 	2.681
550	34.28	343 	2.686
551	34.12	341 	2.690
552	33.96	340 	2.695
553	33.80	338 	2.700
554	33.64	336 	2.705
555	33.48	335 	2.710
556	33.33	333 	2.715
557	33.17	332 	2.720
558	33.01	330 	2.725
559	32.85	329 	2.729
560	32.69	327 	2.734
561	32.54	325 	2.739
562	32.38	324 	2.744
563	32.22	322 	2.749
564	32.06	321 	2.754
565	31.90	319 	2.759
566	31.75	317 	2.764
567	31.59	316 	2.769
568	31.43	314 	2.773
569	31.27	313 	2.778
570	31.11	311 	2.783
571	30.96	310 	2.788
572	30.80	308 	2.793
573	30.64	306 	2.798
574	30.48	305 	2.803
575	30.32	303 	2.808
576	30.17	302 	2.813
577	30.01	300 	2.817
578	29.85	299 	2.822
579	29.69	297 	2.827
580	29.53	295 	2.832
581	29.38	294 	2.837
582	29.22	292 	2.842
583	29.06	291 	2.847
584	28.90	289 	2.852
585	28.75	287 	2.856
586	28.59	286 	2.861
587	28.43	284 	2.866
588	28.27	283 	2.871
589	28.11	281 	2.876
590	27.96	280 	2.881
591	27.80	278 	2.886
592	27.64	276 	2.891
593	27.48	275 	2.896
594	27.32	273 	2.900
595	27.17	272 	2.905
596	27.01	270 	2.910
597	26.85	268 	2.915
598	26.69	267 	2.920
599	26.53	265 	2.925
600	26.38	264 	2.930
601	26.22	262 	2.935
602	26.06	261 	2.939
603	25.90	259 	2.944
604	25.74	257 	2.949
605	25.58	256 	2.954
606	25.43	254 	2.959
607	25.27	253 	2.964
608	25.11	251 	2.969
609	24.95	250 	2.974
610	24.79	248 	2.979
611	24.63	246 	2.983
612	24.48	245 	2.988
613	24.32	243 	2.993
614	24.16	242 	2.998
615	24.00	240 	3.003
616	23.84	238 	3.008
617	23.68	237 	3.013
618	23.52	235 	3.018
619	23.37	234 	3.022
620	23.21	232 	3.027
621	23.05	230 	3.032
622	22.89	229 	3.037
623	22.73	227 	3.042
624	22.57	226 	3.047
625	22.41	224 	3.052
626	22.25	223 	3.057
627	22.09	221 	3.062
628	21.93	219 	3.066
629	21.77	218 	3.071
630	21.62	216 	3.076
631	21.46	215 	3.081
632	21.30	213 	3.086
633	21.14	211 	3.091
634	20.98	210 	3.096
635	20.82	208 	3.101
636	20.66	207 	3.105
637	20.50	205 	3.110
638	20.34	203 	3.115
639	20.18	202 	3.120
640	20.02	200 	3.125
641	19.86	199 	3.130
642	19.70	197 	3.135
643	19.54	195 	3.140
644	19.38	194 	3.145
645	19.22	192 	3.149
646	19.06	191 	3.154
647	18.89	189 	3.159
648	18.73	187 	3.164
649	18.57	186 	3.169
650	18.41	184 	3.174
651	18.25	183 	3.179
652	18.09	181 	3.184
653	17.93	179 	3.188
654	17.77	178 	3.193
655	17.61	176 	3.198
656	17.44	174 	3.203
657	17.28	173 	3.208
658	17.12	171 	3.213
659	16.96	170 	3.218
660	16.80	168 	3.223
661	16.63	166 	3.228
662	16.47	165 	3.232
663	16.31	163 	3.237
664	16.15	161 	3.242
665	15.98	160 	3.247
666	15.82	158 	3.252
667	15.66	157 	3.257
668	15.50	155 	3.262
669	15.33	153 	3.267
670	15.17	152 	3.271
671	15.01	150 	3.276
672	14.84	148 	3.281
673	14.68	147 	3.286
674	14.52	145 	3.291
675	14.35	144 	3.296
676	14.19	142 	3.301
677	14.02	140 	3.306
678	13.86	139 	3.311
679	13.70	137 	3.315
680	13.53	135 	3.320
681	13.37	134 	3.325
682	13.20	132 	3.330
683	13.04	130 	3.335
684	12.87	129 	3.340
685	12.71	127 	3.345
686	12.54	125 	3.350
687	12.38	124 	3.354
688	12.21	122 	3.359
689	12.04	120 	3.364
690	11.88	119 	3.369
691	11.71	117 	3.374
692	11.55	115 	3.379
693	11.38	114 	3.384
694	11.21	112 	3.389
695	11.04	110 	3.394
696	10.88	109 	3.398
697	10.71	107 	3.403
698	10.54	105 	3.408
699	10.38	104 	3.413
700	10.21	102 	3.418
701	10.04	100 	3.423
702	9.87	99 	3.428
703	9.70	97 	3.433
704	9.54	95 	3.438
705	9.37	94 	3.442
706	9.20	92 	3.447
707	9.03	90 	3.452
708	8.86	89 	3.457
709	8.69	87 	3.462
710	8.52	85 	3.467
711	8.35	84 	3.472
712	8.18	82 	3.477
713	8.01	80 	3.481
714	7.84	78 	3.486
715	7.67	77 	3.491
716	7.50	75 	3.496
717	7.33	73 	3.501
718	7.16	72 	3.506
719	6.98	70 	3.511
720	6.81	68 	3.516
721	6.64	66 	3.521
722	6.47	65 	3.525
723	6.30	63 	3.530
724	6.12	61 	3.535
725	5.95	60 	3.540
726	5.78	58 	3.545
727	5.60	56 	3.550
728	5.43	54 	3.555
